date,ship,cruiseLine,arrival,departure,passengers,notes
2026-05-05,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-05-12,MSC Sinfonia,MSC Cruises,08:00,18:00,,
2026-05-14,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-05-19,Costa Fortuna,Costa Cruises,12:00,20:00,,
2026-05-21,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-05-26,Norwegian Getaway,Norwegian Cruise Line,09:00,18:00,,
2026-05-28,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-06-02,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-06-04,Mein Schiff 6,TUI Cruises,07:00,17:00,,
2026-06-09,MSC Musica,MSC Cruises,08:00,18:00,,
2026-06-11,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-06-16,Celebrity Infinity,Celebrity Cruises,10:00,19:00,,
2026-06-18,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-06-23,AIDAblu,AIDA Cruises,08:00,18:00,,
2026-06-25,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-06-30,Costa Fortuna,Costa Cruises,12:00,20:00,,
2026-07-02,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-07-07,MSC Sinfonia,MSC Cruises,08:00,18:00,,
2026-07-09,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-07-14,Norwegian Getaway,Norwegian Cruise Line,09:00,18:00,,
2026-07-16,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-07-21,Marella Discovery,Marella Cruises,08:00,17:00,,
2026-07-23,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-07-28,Mein Schiff 6,TUI Cruises,07:00,17:00,,
2026-08-04,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-08-06,MSC Musica,MSC Cruises,08:00,18:00,,
2026-08-11,Celebrity Infinity,Celebrity Cruises,10:00,19:00,,
2026-08-13,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-08-18,Costa Fortuna,Costa Cruises,12:00,20:00,,
2026-08-20,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-08-25,AIDAblu,AIDA Cruises,08:00,18:00,,
2026-08-27,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-09-01,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-09-03,Norwegian Getaway,Norwegian Cruise Line,09:00,18:00,,
2026-09-08,MSC Sinfonia,MSC Cruises,08:00,18:00,,
2026-09-10,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-09-15,Viking Sky,Viking,08:00,20:00,,
2026-09-17,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-09-22,Azamara Onward,Azamara,08:00,22:00,,Late departure
2026-09-24,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-09-29,Celebrity Infinity,Celebrity Cruises,10:00,19:00,,
2026-10-06,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2026-10-08,Costa Fortuna,Costa Cruises,12:00,20:00,,
2026-10-13,MSC Musica,MSC Cruises,08:00,18:00,,
2026-10-15,Celestyal Discovery,Celestyal Cruises,07:00,14:00,,
2026-10-20,Oceania Riviera,Oceania Cruises,08:00,18:00,,
2026-10-27,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2027-05-04,Celestyal Journey,Celestyal Cruises,07:00,19:00,,
2027-05-11,MSC Sinfonia,MSC Cruises,08:00,18:00,,
2027-05-18,Costa Fortuna,Costa Cruises,12:00,20:00,,
2027-06-01,Celebrity Infinity,Celebrity Cruises,10:00,19:00,,
